
2025-11-25 21:29:29,172 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.4.10', '10.0.20.10', 6, 41680, 5001)
2025-11-25 21:29:30,605 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.3.10', '10.0.10.10', 6, 35430, 5001)
2025-11-25 21:29:30,606 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.3.10', '10.0.10.10', 6, 35430, 5001)
2025-11-25 21:29:32,006 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48196, 5001)
2025-11-25 21:29:32,010 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48196, 5001)
2025-11-25 21:29:33,524 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.3.10', '10.0.10.10', 6, 35390, 5001)
2025-11-25 21:29:33,527 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.3.10', '10.0.10.10', 6, 35390, 5001)
2025-11-25 21:29:35,118 - [RAMAF] Congested: fair_rate=3.44Mbps priority_load=0.03
2025-11-25 21:29:35,123 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46344, 5001) rate=7.56Mbps (> 4.13Mbps)
2025-11-25 21:29:35,127 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001) rate=7.36Mbps (> 4.13Mbps)
2025-11-25 21:29:35,136 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001) rate=7.35Mbps (> 4.13Mbps)
2025-11-25 21:29:35,141 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001) rate=6.85Mbps (> 4.13Mbps)
2025-11-25 21:29:35,148 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35408, 5001) rate=7.20Mbps (> 4.13Mbps)
2025-11-25 21:29:35,155 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48176, 5001) rate=6.91Mbps (> 4.13Mbps)
2025-11-25 21:29:35,162 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35328, 5001) rate=7.06Mbps (> 4.13Mbps)
2025-11-25 21:29:35,169 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48094, 5001) rate=7.14Mbps (> 4.13Mbps)
2025-11-25 21:29:35,175 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.20.10', 6, 41680, 5001) rate=6.55Mbps (> 4.13Mbps)
2025-11-25 21:29:35,182 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35472, 5001) rate=8.10Mbps (> 4.13Mbps)
2025-11-25 21:29:35,185 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48156, 5001) rate=7.37Mbps (> 4.13Mbps)
2025-11-25 21:29:35,194 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46358, 5001) rate=7.39Mbps (> 4.13Mbps)
2025-11-25 21:29:35,200 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 54054, 5001) rate=7.08Mbps (> 4.13Mbps)
2025-11-25 21:29:35,206 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48148, 5001) rate=7.13Mbps (> 4.13Mbps)
2025-11-25 21:29:35,212 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46282, 5001) rate=7.40Mbps (> 4.13Mbps)
2025-11-25 21:29:35,219 - [RAMAF] Congested -> evicted 15 flows
2025-11-25 21:29:37,337 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48242, 5001)
2025-11-25 21:29:37,342 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48242, 5001)
2025-11-25 21:29:38,614 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46464, 5001)
2025-11-25 21:29:38,617 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46464, 5001)
2025-11-25 21:29:40,142 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48138, 5001)
2025-11-25 21:29:40,149 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48138, 5001)
2025-11-25 21:29:41,565 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48094, 5001)
2025-11-25 21:29:41,568 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48094, 5001)
2025-11-25 21:29:43,033 - [RAMAF] Congested: fair_rate=4.30Mbps priority_load=0.03
2025-11-25 21:29:43,035 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46312, 5001) rate=5.46Mbps (> 5.16Mbps)
2025-11-25 21:29:43,038 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48116, 5001) rate=5.52Mbps (> 5.16Mbps)
2025-11-25 21:29:43,046 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35460, 5001) rate=5.61Mbps (> 5.16Mbps)
2025-11-25 21:29:43,049 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46344, 5001) rate=5.55Mbps (> 5.16Mbps)
2025-11-25 21:29:43,058 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46542, 5001) rate=5.50Mbps (> 5.16Mbps)
2025-11-25 21:29:43,063 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001) rate=5.42Mbps (> 5.16Mbps)
2025-11-25 21:29:43,067 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001) rate=5.61Mbps (> 5.16Mbps)
2025-11-25 21:29:43,071 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001) rate=5.65Mbps (> 5.16Mbps)
2025-11-25 21:29:43,076 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35408, 5001) rate=5.47Mbps (> 5.16Mbps)
2025-11-25 21:29:43,080 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35410, 5001) rate=5.51Mbps (> 5.16Mbps)
2025-11-25 21:29:43,085 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48176, 5001) rate=5.29Mbps (> 5.16Mbps)
2025-11-25 21:29:43,092 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35328, 5001) rate=5.42Mbps (> 5.16Mbps)
2025-11-25 21:29:43,096 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48094, 5001) rate=5.56Mbps (> 5.16Mbps)
2025-11-25 21:29:43,099 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.20.10', 6, 41680, 5001) rate=6.14Mbps (> 5.16Mbps)
2025-11-25 21:29:43,106 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35472, 5001) rate=5.43Mbps (> 5.16Mbps)
